$type,id,url,commonName,placeType,lat,lon
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_73,/Place/BikePoints_73,"Old Street Station, St. Luke's",BikePoint,51.52548,-0.089659
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_74,/Place/BikePoints_74,"Vauxhall Cross, Vauxhall",BikePoint,51.485917,-0.124469
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_75,/Place/BikePoints_75,"Torrens Street, Angel",BikePoint,51.532199,-0.10548
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_76,/Place/BikePoints_76,"Longford Street, The Regent's Park",BikePoint,51.525595,-0.144083
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_77,/Place/BikePoints_77,"Russell Square Station, Bloomsbury",BikePoint,51.523418,-0.124121
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_78,/Place/BikePoints_78,"Sadlers Sports Centre, Finsbury",BikePoint,51.524868,-0.099489
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_79,/Place/BikePoints_79,"Arundel Street, Temple",BikePoint,51.511726,-0.113855
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_80,/Place/BikePoints_80,"Webber Street , Southwark",BikePoint,51.500693,-0.102091
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_81,/Place/BikePoints_81,"Great Titchfield Street, Fitzrovia",BikePoint,51.520253,-0.141327
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_82,/Place/BikePoints_82,"Chancery Lane, Holborn",BikePoint,51.514274,-0.111257
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_83,/Place/BikePoints_83,"Panton Street, West End",BikePoint,51.509639,-0.13151
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_84,/Place/BikePoints_84,"Breams Buildings, Holborn",BikePoint,51.515937,-0.111778
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_85,/Place/BikePoints_85,"Tanner Street, Bermondsey",BikePoint,51.500647,-0.0786
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_86,/Place/BikePoints_86,"Sancroft Street, Vauxhall",BikePoint,51.489479,-0.115156
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_88,/Place/BikePoints_88,"Bayley Street , Bloomsbury",BikePoint,51.518587,-0.132053
